437	11
438	20
439	24
440	4
441	14
442	4
443	10
444	2
445	8
446	1
447	31
448	2
449	14
450	1
451	14
452	7
453	10
454	8
455	5
456	13
457	2
458	8
459	12
460	16
461	13
462	2
463	1
464	3
465	3
466	4
467	20
468	8
469	3
470	10
471	8
472	22
473	11
474	1
475	4
476	24
477	9
478	15
479	3
480	1
481	3
482	23
483	5
484	1
485	3
486	11
487	4
488	14
489	3
490	3
491	16
492	9
493	10
494	1
495	2
496	12
497	13
498	4
499	1
500	3
501	16
502	19
503	7
504	1
505	2
506	7
507	12
508	19
509	7
510	11
511	14
512	16
513	4
514	6
515	1
516	1
517	11
518	14
519	16
520	12
521	2
522	18
523	12
524	1
525	18
526	14
527	5
528	18
529	6
530	9
531	2
532	9
533	5
534	35
535	12
536	2
537	12
538	4
539	6
540	1
541	7
542	7
543	13
544	5
545	12
546	1
547	4
548	3
549	6
550	17
551	12
552	11
553	8
554	15
555	5
556	17
557	11
558	5
559	3
560	6
561	4
562	1
563	9
564	16
565	10
566	20
567	9
568	3
569	11
570	15
571	11
572	4
573	21
574	4
575	6
576	1
577	17
578	11
579	12
580	2
581	12
582	2
583	13
584	3
585	2
586	1
587	2
588	19
589	3
590	2
591	8
592	9
593	12
594	7
595	21
596	16
597	4
598	2
599	9
600	1
601	1
602	17
603	17
604	13
605	1
606	5
607	4
608	13
609	3
610	4
611	38
612	9
613	12
614	1
615	2
616	2
617	4
618	4
619	7
620	1
621	3
622	6
623	3
624	9
625	7
626	12
627	8
628	10
629	1
630	12
631	7
632	12
633	1
634	34
635	9
636	4
637	11
638	4
639	9
640	4
641	14
642	20
643	18
644	5
645	5
646	13
647	11
648	9
649	6
650	12
651	7
652	22
653	6
654	6
655	12
656	6
657	8
658	4
659	5
660	10
661	5
662	14
663	2
664	6
665	21
666	6
667	4
668	6
669	11
670	2
671	4
672	8
673	4
674	5
675	4
676	4
677	9
678	2
679	25
680	12
681	12
682	13
683	5
684	9
685	22
686	10
687	4
688	32
689	3
690	7
691	29
692	1
693	28
694	2
695	4
696	8
697	9
698	8
699	1
700	3
701	7
702	3
703	4
704	4
705	14
706	14
707	19
708	7
709	2
710	7
711	11
712	4
713	1
714	7
715	10
716	9
717	7
718	5
719	8
720	13
721	7
722	5
723	5
724	6
725	8
726	2
727	4
728	3
729	6
730	11
731	5
732	2
733	13
734	2
735	12
736	4
737	12
738	17
739	22
740	2
741	14
742	8
743	10
744	20
745	7
746	8
747	2
748	12
749	2
750	9
751	5
752	3
753	7
754	7
755	21
756	11
757	22
758	1
759	5
760	2
761	6
762	1
763	2
764	23
765	10
766	1
767	10
768	9
769	4
770	8
771	11
772	5
773	1
774	6
775	25
776	26
777	7
778	6
779	7
780	23
781	7
782	15
783	9
784	5
785	4
786	2
787	3
788	2
789	8
790	14
791	14
792	11
793	5
794	8
795	17
796	6
797	9
798	9
799	16
800	4
801	5
802	12
803	14
804	11
805	3
806	10
807	2
808	5
809	1
810	10
811	6
812	1
813	3
814	10
815	12
816	27
817	1
818	3
819	2
820	1
821	7
822	6
823	9
824	1
825	3
826	7
827	2
828	3
829	5
830	4
831	5
832	1
833	16
834	12
835	3
836	17
837	5
838	1
839	3
840	1
841	4
842	5
843	9
844	9
845	12
846	8
847	2
848	8
849	15
850	2
851	11
852	1
853	1
854	17
855	15
856	26
857	14
858	1
859	10
860	2
861	6
862	1
863	12
864	8
865	3
866	9
867	11
868	15
869	2
870	3
871	3
872	1
873	35
874	4
875	6
876	4
877	6
878	3
879	2
880	6
881	12
882	7
883	3
884	3
885	6
886	7
887	25
888	4
889	6
890	8
891	12
892	3
893	20
894	11
895	1
896	7
897	10
898	6
899	3
900	7
901	3
902	15
903	1
904	1
905	1
906	1
907	4
908	6
909	1
910	1
911	14
912	1
913	12
914	21
915	15
916	5
917	8
918	1
919	6
920	20
921	5
922	9
923	7
924	24
925	2
926	4
927	3
928	2
929	2
930	9
931	6
932	15
933	1
934	15
935	5
936	6
937	14
938	1
939	4
940	3
941	33
942	15
943	4
944	14
945	7
946	16
